StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q25,Q2,Q3,Q4#1_1,Q4#1_2,Q4#1_3,Q4#1_4,Q4#1_5,Q4#1_6,Q4#2_1,Q4#2_2,Q4#2_3,Q4#2_4,Q4#2_5,Q4#2_6,Q4#3_1_1,Q4#3_2_1,Q4#3_3_1,Q4#3_4_1,Q4#3_5_1,Q4#3_6_1,Q4#4_1,Q4#4_2,Q4#4_3,Q4#4_4,Q4#4_5,Q4#4_6,Q4#5_1,Q4#5_2,Q4#5_3,Q4#5_4,Q4#5_5,Q4#5_6,Q4#6_1,Q4#6_2,Q4#6_3,Q4#6_4,Q4#6_5,Q4#6_6,Q4#7_1_1,Q4#7_2_1,Q4#7_3_1,Q4#7_4_1,Q4#7_5_1,Q4#7_6_1,Q5,Q6,Q7,Q8,id_participant
2019-03-26 03:55:30,2019-03-26 03:56:40,IP Address,84.123.72.31,100,70,True,2019-03-26 03:56:40,R_2CVNPhxkRtY6Wp8,,,,,39.4698028564453,-0.377395629882812,anonymous,EN,Ethan humming,Rachel L,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,18,7,8,5,6,14,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Next behavior,Next behavior,,Next behavior,,Sim ended,32,52,5,37,47,7,Increasingly nervous,"Towards the end, TC is unsure of how to deal with student misbehavior. TC laughs during misbehaviors and looks over to sim manager. ",3,"TC is able to support students in generating one classroom norm, although there is limited rationale. TC is largely unsuccessful with redirecting student misbehavior and distractions were very lengthy and detracted from the discussion about classroom norms. There were very few instances where all students were engaged in the conversation. TC does not become visibly irritated, but does show signs of nervousness towards the end of the simulation. ",1_1819_2_65
2019-03-26 13:05:47,2019-03-26 13:06:56,IP Address,84.123.72.31,100,68,True,2019-03-26 13:06:56,R_3m1shMhEFvpwIqO,,,,,39.4698028564453,-0.377395629882812,anonymous,EN,Ethan humming,Rachel L,93,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38,6,32,33,33,4,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Next behavior,Next behavior,Next behavior,Next behavior,,,16,49,25,7,23,7,slightly flustered,Tries to ignore Ethan’s misbehavior; sometimes TC repeats Ethan’s name multiple times rather than trying to give a redirection.,4,"TC is not able to support students in generating any classroom norms (comes up with some herself). TC is largely unsuccessful with redirecting student misbehavior. Distractions are lengthy, which definitely detracts from the discussion about classroom norms. There were very few moments when all students were engaged. TC remains mostly calm, but shows some signs of being flustered. ",1_1819_3_93
2019-03-26 14:50:20,2019-03-26 14:51:42,IP Address,199.111.225.37,100,81,True,2019-03-26 14:51:42,R_1r22jneZGWtC7kt,,,,,38.0935974121093,-78.5623016357421,anonymous,EN,Ethan humming,Maggie,63,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37,7,9,4,5,3,No,No,No,No,Yes,No,Yes,No,No,Yes,,Yes,Next behavior,,,Next behavior,,Sim ended,19,10,11,40,12,25,"Calm, increasingly more annoyed. ","TC uses pretty consistent tone throughout the video, towards the end starts repeating names more often and commenting on the students misbehaviors in addition to attempting to redirect them– showing increasing agitation.",3,"TC helps support students generate around 2 classroom expectations, not with rationale. The TC only effectively redirected 1 of the misbehaviors, although students stop the behavior on two other misbehaviors, the redirection was not specific so this doesn’t really count. Majority of sounds are TC engaging with students about behavior or talking over the misbehavior.TC affect is for the most part calm.",1_1819_2_63
2019-03-26 15:00:02,2019-03-26 15:01:04,IP Address,84.123.72.31,100,61,True,2019-03-26 15:01:04,R_3QDaRk2CV5gGQTn,,,,,39.4698028564453,-0.377395629882812,anonymous,EN,Ethan humming,Rachel L,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,36,2,4,18,11,7,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,14,53,50,23,47,17,Frustrated,Starts redirecting Ethan with “I’m waiting” rather than giving specific redirections; tells Ethan if he doesn’t stop he will have to take a break,3,TC is able to support students in coming up with a couple classroom norms although there is not rationale behind them. TC is largely unsuccessful with redirecting student behavior and distractions are very lengthy which detracts from the conversation. There are very few moments where all students are engaged in the discussion about classroom norms. TC becomes somewhat less calm as simulation progresses.,1_1819_2_35
2019-03-26 16:10:28,2019-03-26 16:12:02,IP Address,108.169.215.227,100,94,True,2019-03-26 16:12:02,R_3pnEL7vd5bp2T2f,,,,,38.8975982666015,-77.5092010498046,anonymous,EN,Ethan humming,Rachel G,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,17,8,5,9,6,7,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,36,52,44,33,50,19,unsure,"Continues to repeat the same redirections, tries to continue discussion over behaviors",2,"No norms generated, acknowledges all behaviors but does not successfully redirect any of them, all dialogue is focused on misbehaviors, there are no moments when all students are on task, teacher seems unsure throughout the sim",1_1819_1_22
2019-03-26 17:06:10,2019-03-26 17:07:31,IP Address,108.169.215.227,100,80,True,2019-03-26 17:07:32,R_Oxo3sYKehRSI76N,,,,,38.8975982666015,-77.5092010498046,anonymous,EN,Ethan humming,Rachel G,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,4,3,4,5,7,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,,Next behavior,Next behavior,Next behavior,,,7,55,50,37,41,5,frustrated ,"""this isn't up for discussion"", tries to send Ethan out to the hallway, stops talking and stands silently while Ethan beatboxes, ""this is the third time, you need to stop",2,"1 norm created, mixed success on redirections, disruptions were very lengthy, majority of dialogue was focused on misbehaviors, did not support engagement, seems very frustrated throughout ",1_1819_1_10
2019-03-27 16:17:47,2019-03-27 16:19:13,IP Address,108.169.215.227,100,86,True,2019-03-27 16:19:14,R_1hXuXkDnA8GRFjd,,,,,38.8975982666015,-77.5092010498046,anonymous,EN,Ethan humming,Rachel G,107,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15,6,25,1,16,17,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,,Next behavior,Next behavior,,Next behavior,Sim ended,38,46,27,4,31,10,unsure,"Laughs when multiple of the behaviors start, tries to engage with some of the misbehaviors (asking Ethan about music, Dev about rocket club) ",3,"1 norm generated, mixed success at redirecting misbehaviors, almost all redirections were lengthy, most dialogue focused on misbehaviors, few moments when all students were engaged and on-task",1_1819_4_107
2019-03-27 16:46:26,2019-03-27 16:47:41,IP Address,108.169.215.227,100,75,True,2019-03-27 16:47:41,R_8qBfg9YIu8ReHOV,,,,,38.8975982666015,-77.5092010498046,anonymous,EN,Ethan humming,Rachel G,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10,11,28,1,18,3,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,45,43,22,40,36,36,calm,"Doesn't seem to get frustrated, doesn't raise voice, tries to engage with students that are misbehaving",2,"No norms generated by students, acknowledges all behaviors, only one is specific, all redirections were very lengthy, all dialogue was either engaging with or talking over behaviors, no moments where all students were engaged",1_1819_3_72
2019-03-29 16:39:51,2019-03-29 16:41:00,IP Address,76.120.250.20,100,69,True,2019-03-29 16:41:01,R_1OUXnvfwNnFuNQt,,,,,38.0265960693359,-78.4804992675781,anonymous,EN,Ethan humming,Maggie,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37,3,5,19,9,5,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,14,53,50,24,48,17,"Calm, but increasingly irritated ","TC maintained a pretty consistent tone and voice, but started to raise it more towards the end. TC also started to repeat Ethan’s name more, and make comments about his behaviors towards the end of the simulation as well. ",3,"TC was not able to support students in generating any reasonable classroom expectations. TC did not effectively redirect student behavior – was successful in one, but didn’t acknowledge until 37 seconds in. Acknowledged all off task behaviors. Disruptions were lengthy and detracted from the overall quality of discussion. Majority of dialogue/sounds are Tc engaging with students about their behavior/student misbehavior. TC did not support student engagement, few moments where all students were engaged in on task behavior. TC candidate affect is calm for the most part. ",1_1819_2_35
2019-03-29 17:04:24,2019-03-29 17:05:27,IP Address,76.120.250.20,100,63,True,2019-03-29 17:05:29,R_26avv9y7Jkna6h4,,,,,38.0265960693359,-78.4804992675781,anonymous,EN,Ethan humming,Maggie,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,16,7,5,9,6,8,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,36,51,44,33,48,18,"Calm, but confused","Increased hand motions and swaying, repeating of questions/phrases. Longer periods of silence towards the end, and repeating the same question – showing uncertainty of how to redirect the behavior.  ",2,"TC was not able to support students in generating any reasonable expectations. TC did not effectively redirect student behavior, but did acknowledge all of them pretty quickly. Disruptions were lengthy and detracted from quality. All sounds were TC speaking over misbehavior or the misbehavior. TC did not support student engagement. TC was calm.",1_1819_1_22
2019-03-29 17:16:56,2019-03-29 17:17:52,IP Address,76.120.250.20,100,56,True,2019-03-29 17:17:52,R_V2c2AeWUqd5gvlv,,,,,38.0265960693359,-78.4804992675781,anonymous,EN,Ethan humming,Maggie,96,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,59,38,13,6,2,3,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Next behavior,Next behavior,Next behavior,Next behavior,,Sim ended,7,54,38,34,36,35,"Confused, surprised","TC would put her hands to her mouth in a surprised expression a few times when Ethan continued to misbehave, but kept calm and voice the same tone ",2,"Students developed one rule without rationale. TC did not effectively redirect student behavior, TC acknowledged all behaviors. Disruptions were lengthy and majority of sounds are TC engaging with student about misbehavior or the misbehavior. TC didn’t support student engagement. TC affect is calm. ",1_1819_3_96
2019-03-30 10:15:42,2019-03-30 10:51:30,IP Address,174.226.164.97,100,2147,True,2019-03-30 10:51:30,R_XYbZVHq84DrzIZP,,,,,37.1385955810546,-79.1047973632812,anonymous,EN,Ethan humming,Claire,45,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,55,28,18,4,10,14,,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,,32,40,31,41,14,"nervous
rattled
","voice was really shaky
TC seemed hesitant to interrupt students during misbehaviors
",2,"'-The teacher candidate struggled to facilitate a discussion about classroom norms. At the low end the discussion was derailed because the teacher did not effectively redirect student behavior. 
- At the low end, the teaching candidate was not able to support students in generating any reasonable classroom expectations. 
- The teacher did not effectively redirect student behaviors. 
-Disruptions were lengthy and detracted from the overall quality of the conversation
-The majority of dialogue/sounds are (a) TC engaging with students about their behavior (b) TC attempts to keep the discussion afloat during unaddressed student misbehavior (c) student misbehavior.
-The teacher candidate did not support student engagement. Therefore, there were few moments where all students were engaged in on-task behavior. 
-Overall teacher candidate affect is not calm and may grow less so over the course of the simulation. Teacher candidate may appear nervous, flustered, or rattled.
",1_1819_2_45
2019-03-30 13:25:50,2019-03-30 13:27:29,IP Address,108.169.215.227,100,99,True,2019-03-30 13:27:30,R_C4hFFzizkhvxpzX,,,,,38.8975982666015,-77.5092010498046,anonymous,EN,Ethan humming,Rachel G,39,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40,16,9,5,32,6,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,,Next behavior,,,Next behavior,Sim ended,11,39,9,6,18,19,more irritated toward the end,"""I didn't see you raise your hand"", couldn't see face/body but tone seemed alittle bit shorter towards the end",5,"2-3 norms created, mixed success on redirecting behavior, dialogue sometimes focused on norms sometimes focused on redirections, inconsistently supported student engagement",1_1819_2_39
